Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Unnamed:0
556,male,********,associate's degree,standard,completed,single,regularly,yes,1.0,private,5 - 10,78,75,70,********
557,female,********,high school,free/reduced,none,married,sometimes,no,7.0,private,5 - 10,60,66,67,********
558,female,********,associate's degree,free/reduced,none,divorced,regularly,yes,3.0,school_bus,< 5,66,68,69,********
559,male,********,associate's degree,standard,none,married,regularly,yes,,private,5 - 10,87,78,79,********
560,male,********,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,54,57,50,********
561,female,********,associate's degree,standard,none,married,regularly,no,3.0,school_bus,5 - 10,80,83,82,********
562,male,********,high school,free/reduced,completed,single,regularly,yes,2.0,private,> 10,67,78,74,********
563,male,********,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,91,82,80,********
564,male,********,bachelor's degree,free/reduced,none,married,sometimes,no,2.0,school_bus,5 - 10,60,57,55,********
565,male,********,some college,standard,completed,married,regularly,no,1.0,school_bus,< 5,93,88,92,********
567,female,********,some college,free/reduced,none,single,regularly,yes,4.0,school_bus,< 5,57,68,69,********
568,female,********,bachelor's degree,standard,none,divorced,sometimes,yes,0.0,private,< 5,66,78,73,********
569,female,********,some high school,standard,completed,single,sometimes,no,2.0,school_bus,5 - 10,71,84,90,********
570,male,********,some college,standard,none,single,,yes,0.0,school_bus,> 10,63,65,65,********
571,male,********,some high school,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,84,72,73,********
572,female,********,associate's degree,standard,none,married,sometimes,yes,1.0,private,5 - 10,70,75,70,********
573,female,********,some college,free/reduced,completed,single,regularly,yes,0.0,private,5 - 10,73,94,91,********
574,female,********,some college,standard,none,married,regularly,yes,1.0,school_bus,> 10,40,44,42,********
575,female,********,associate's degree,standard,completed,single,sometimes,no,3.0,school_bus,5 - 10,90,98,99,********
576,female,********,bachelor's degree,free/reduced,completed,single,,yes,1.0,,5 - 10,54,73,70,********
577,male,********,,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,79,80,81,********
578,male,********,master's degree,standard,none,married,regularly,,1.0,school_bus,> 10,98,85,86,********
579,female,********,some high school,free/reduced,none,married,regularly,no,1.0,,5 - 10,43,48,50,********
580,male,********,bachelor's degree,standard,none,married,regularly,yes,2.0,,< 5,82,74,68,********
581,male,********,high school,free/reduced,completed,married,never,yes,3.0,,5 - 10,40,33,34,********
582,female,********,some high school,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,54,69,61,********
583,female,********,some college,free/reduced,none,married,never,yes,2.0,school_bus,5 - 10,39,54,47,********
584,female,********,associate's degree,standard,completed,widowed,sometimes,yes,2.0,private,< 5,93,98,97,********
585,female,********,high school,standard,none,married,regularly,yes,3.0,school_bus,< 5,70,68,73,********
586,female,********,associate's degree,standard,completed,divorced,regularly,no,3.0,school_bus,5 - 10,57,76,75,********
587,female,********,some college,standard,none,divorced,regularly,yes,4.0,private,> 10,66,75,77,********
589,female,********,some high school,standard,none,married,regularly,no,1.0,school_bus,5 - 10,75,76,74,********
590,male,********,some high school,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,50,54,43,********
591,female,********,high school,standard,none,married,sometimes,yes,3.0,private,< 5,80,83,85,********
592,female,********,some college,standard,none,single,regularly,yes,3.0,private,< 5,57,63,63,********
593,male,********,some high school,standard,none,single,sometimes,yes,0.0,school_bus,5 - 10,42,30,34,********
594,male,********,associate's degree,standard,none,married,regularly,no,2.0,,> 10,82,78,75,********
595,female,********,some college,standard,none,married,sometimes,yes,2.0,private,5 - 10,70,76,79,********
596,female,********,some college,standard,completed,single,regularly,no,3.0,school_bus,5 - 10,60,58,65,********
597,male,********,,free/reduced,completed,married,regularly,no,2.0,school_bus,> 10,53,48,50,********
598,male,********,bachelor's degree,free/reduced,,single,regularly,no,3.0,private,< 5,63,67,54,********
599,female,********,associate's degree,standard,none,married,sometimes,yes,2.0,private,> 10,92,94,94,********
600,female,********,high school,free/reduced,none,married,regularly,yes,0.0,private,5 - 10,44,50,48,********
601,male,********,associate's degree,standard,completed,single,regularly,yes,1.0,private,> 10,85,75,83,********
602,male,********,some high school,standard,completed,single,sometimes,no,1.0,private,5 - 10,44,51,53,********
603,male,********,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,70,65,66,********
604,female,********,high school,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,29,28,33,********
605,female,********,high school,free/reduced,completed,divorced,sometimes,yes,0.0,,< 5,50,65,66,********
606,male,********,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,> 10,73,66,67,********
607,male,********,some high school,standard,none,divorced,regularly,no,1.0,school_bus,> 10,71,60,64,********
609,female,********,high school,standard,none,married,never,no,1.0,school_bus,5 - 10,75,76,74,********
610,male,********,some college,standard,none,married,never,yes,3.0,private,5 - 10,64,66,65,********
611,female,********,high school,free/reduced,completed,married,sometimes,yes,1.0,school_bus,< 5,62,80,77,********
613,male,********,some high school,standard,none,single,sometimes,yes,0.0,private,5 - 10,77,68,59,********
614,male,********,some college,standard,none,single,sometimes,no,3.0,school_bus,> 10,81,70,74,********
615,male,********,high school,standard,none,married,sometimes,yes,3.0,school_bus,> 10,47,39,27,********
616,male,********,some college,standard,none,single,sometimes,yes,1.0,school_bus,> 10,67,72,69,********
617,male,********,associate's degree,standard,,single,regularly,yes,3.0,,5 - 10,69,72,71,********
618,female,********,some college,free/reduced,none,married,sometimes,yes,1.0,private,< 5,64,77,75,********
619,female,********,bachelor's degree,free/reduced,completed,divorced,regularly,no,2.0,,> 10,59,65,72,********
620,female,********,some college,free/reduced,completed,single,regularly,no,3.0,,5 - 10,61,68,71,********
621,male,********,some college,standard,none,married,,yes,0.0,school_bus,5 - 10,49,50,54,********
622,female,********,associate's degree,standard,,,regularly,,1.0,private,5 - 10,89,93,96,********
623,female,********,some high school,standard,completed,married,sometimes,no,2.0,school_bus,< 5,67,77,86,********
625,female,********,some high school,standard,none,married,never,no,1.0,private,5 - 10,87,98,93,********
627,female,********,high school,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,53,65,62,********
628,male,********,high school,standard,completed,single,regularly,yes,,school_bus,> 10,74,65,64,********
629,female,********,high school,free/reduced,completed,married,sometimes,yes,1.0,,5 - 10,71,76,74,********
630,male,********,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,63,63,58,********
631,female,********,some college,standard,none,married,regularly,yes,3.0,school_bus,< 5,72,71,74,********
632,female,********,high school,standard,none,married,sometimes,yes,1.0,school_bus,> 10,66,77,73,********
633,female,********,some college,standard,none,married,regularly,yes,3.0,private,5 - 10,55,59,59,********
634,female,********,some college,free/reduced,completed,married,regularly,no,1.0,school_bus,> 10,83,88,94,********
635,male,********,master's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,68,59,61,********
636,female,********,some high school,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,87,97,96,********
637,male,********,high school,standard,completed,single,sometimes,no,1.0,school_bus,< 5,79,68,75,********
639,male,********,some high school,standard,completed,widowed,regularly,yes,,private,> 10,100,94,97,********
640,female,********,master's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,93,100,100,********
641,male,********,some college,standard,none,divorced,regularly,yes,1.0,school_bus,5 - 10,46,42,42,********
642,male,********,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,93,97,97,********
643,male,********,some college,free/reduced,completed,divorced,never,no,1.0,school_bus,< 5,60,72,68,********
644,male,********,associate's degree,free/reduced,none,married,sometimes,no,2.0,private,> 10,70,60,61,********
645,female,********,bachelor's degree,standard,none,divorced,never,no,2.0,school_bus,> 10,81,83,86,********
646,female,********,associate's degree,standard,completed,single,regularly,no,1.0,school_bus,> 10,73,86,96,********
647,male,********,,free/reduced,,married,regularly,yes,1.0,school_bus,< 5,86,67,69,********
648,female,********,associate's degree,standard,completed,married,regularly,no,1.0,private,,81,96,90,********
649,female,********,some high school,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,65,72,64,********
650,female,********,high school,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,54,64,62,********
651,female,********,some college,standard,none,single,sometimes,no,1.0,school_bus,> 10,81,90,95,********
652,female,********,high school,standard,none,single,regularly,no,4.0,school_bus,< 5,62,71,67,********
653,female,********,some college,standard,none,married,sometimes,yes,3.0,school_bus,> 10,87,99,91,********
654,female,********,bachelor's degree,standard,completed,married,regularly,yes,1.0,private,< 5,56,66,65,********
655,male,********,master's degree,standard,none,married,sometimes,no,,private,< 5,64,58,50,********
656,male,********,high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,45,46,42,********
657,male,********,some high school,standard,completed,single,sometimes,no,5.0,,5 - 10,76,76,78,********
658,female,********,bachelor's degree,standard,completed,married,sometimes,no,1.0,school_bus,5 - 10,71,81,86,********
659,female,********,bachelor's degree,standard,none,single,sometimes,no,3.0,school_bus,> 10,78,76,74,********
660,male,********,some high school,free/reduced,none,single,regularly,no,1.0,private,< 5,74,72,70,********
662,male,********,associate's degree,standard,none,single,regularly,yes,3.0,school_bus,5 - 10,56,60,59,********
664,female,********,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,> 10,89,94,90,********
665,female,********,high school,standard,none,married,regularly,no,1.0,school_bus,5 - 10,81,83,80,********
666,male,********,some college,standard,none,single,regularly,yes,1.0,private,5 - 10,60,48,51,********
667,female,********,,standard,none,single,sometimes,no,7.0,private,5 - 10,70,71,77,********
669,female,********,high school,standard,none,married,sometimes,yes,1.0,private,,96,96,95,********
670,male,********,high school,free/reduced,none,married,never,no,3.0,school_bus,> 10,84,74,68,********
671,female,********,associate's degree,free/reduced,none,married,sometimes,no,3.0,private,5 - 10,48,50,54,********
672,female,********,bachelor's degree,standard,completed,divorced,sometimes,no,1.0,private,5 - 10,56,67,66,********
673,female,********,,free/reduced,none,married,regularly,no,1.0,private,< 5,60,81,76,********
674,male,********,some high school,standard,completed,single,never,yes,3.0,private,> 10,85,88,90,********
675,female,********,high school,standard,none,married,never,yes,0.0,school_bus,5 - 10,70,71,62,********
676,male,********,some college,standard,none,married,regularly,no,3.0,school_bus,> 10,47,40,46,********
677,male,********,,standard,completed,married,regularly,no,1.0,private,5 - 10,80,77,82,********
679,female,********,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,> 10,45,48,44,********
680,male,********,high school,standard,none,married,sometimes,yes,1.0,school_bus,< 5,76,76,62,********
681,male,********,some high school,standard,none,married,sometimes,yes,2.0,private,5 - 10,64,70,71,********
682,female,********,high school,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,49,61,57,********
683,male,********,,standard,none,married,regularly,yes,4.0,private,< 5,49,54,48,********
684,male,********,some high school,standard,none,married,sometimes,yes,1.0,private,> 10,66,62,60,********
685,female,********,high school,standard,none,single,regularly,yes,3.0,private,5 - 10,61,64,60,********
686,female,********,some college,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,63,54,58,********
687,male,********,high school,standard,none,single,sometimes,yes,2.0,school_bus,> 10,82,73,72,********
688,male,********,some college,standard,none,divorced,sometimes,yes,0.0,school_bus,5 - 10,83,73,66,********
689,female,********,some high school,standard,none,married,regularly,no,1.0,school_bus,< 5,45,42,46,********
690,male,********,associate's degree,free/reduced,completed,married,sometimes,yes,2.0,private,5 - 10,70,70,67,********
691,female,********,some high school,free/reduced,completed,married,sometimes,yes,0.0,private,< 5,63,83,82,********
692,female,********,associate's degree,standard,none,single,sometimes,no,2.0,school_bus,< 5,74,92,87,********
693,female,********,master's degree,free/reduced,completed,single,never,yes,2.0,private,5 - 10,85,91,96,********
694,male,********,,standard,completed,married,sometimes,yes,0.0,private,< 5,53,57,59,********
695,male,********,associate's degree,standard,,married,sometimes,yes,1.0,school_bus,< 5,68,64,57,********
696,male,********,high school,free/reduced,none,single,regularly,no,1.0,school_bus,5 - 10,57,61,54,********
697,male,********,some high school,standard,completed,married,sometimes,yes,4.0,,5 - 10,88,85,79,********
698,female,********,high school,standard,none,single,sometimes,no,2.0,school_bus,< 5,60,65,68,********
699,male,********,some high school,free/reduced,none,divorced,regularly,yes,2.0,private,< 5,54,59,51,********
700,male,********,some college,standard,none,married,never,yes,2.0,school_bus,< 5,71,64,64,********
701,female,********,associate's degree,standard,none,divorced,sometimes,yes,1.0,private,< 5,58,70,72,********
702,male,********,bachelor's degree,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,59,58,60,********
703,female,********,some college,standard,,married,regularly,yes,0.0,private,> 10,67,66,69,********
704,male,********,some college,standard,none,single,never,yes,2.0,school_bus,< 5,61,56,57,********
705,female,********,some college,standard,none,married,regularly,no,1.0,school_bus,5 - 10,76,73,83,********
706,female,********,some high school,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,59,77,75,********
707,female,********,associate's degree,standard,completed,divorced,sometimes,no,2.0,school_bus,5 - 10,56,65,64,********
708,female,********,some college,standard,none,,sometimes,yes,3.0,school_bus,5 - 10,75,83,81,********
709,male,********,bachelor's degree,standard,completed,single,sometimes,yes,4.0,school_bus,< 5,75,73,68,********
710,female,********,master's degree,free/reduced,none,divorced,regularly,no,4.0,private,> 10,77,79,78,********
711,female,********,some college,free/reduced,none,divorced,regularly,,1.0,private,5 - 10,51,72,74,********
712,male,********,bachelor's degree,standard,none,married,sometimes,no,6.0,school_bus,> 10,81,68,65,********
713,female,********,bachelor's degree,free/reduced,none,married,never,yes,1.0,private,5 - 10,71,86,88,********
714,female,********,high school,standard,none,divorced,never,yes,0.0,school_bus,5 - 10,58,73,69,********
715,male,********,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,36,37,34,********
716,male,********,bachelor's degree,standard,none,married,never,yes,4.0,private,< 5,55,57,53,********
717,male,********,some college,standard,none,married,sometimes,yes,3.0,school_bus,> 10,94,78,77,********
718,male,********,some college,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,74,83,73,********
719,male,********,some college,standard,none,married,regularly,no,1.0,school_bus,5 - 10,59,50,54,********
720,male,********,master's degree,standard,none,single,regularly,yes,0.0,,> 10,94,96,91,********
721,male,********,bachelor's degree,free/reduced,completed,divorced,sometimes,,,school_bus,> 10,66,65,67,********
722,male,********,some high school,standard,completed,married,regularly,yes,1.0,,< 5,48,49,54,********
723,female,********,associate's degree,free/reduced,none,married,regularly,yes,2.0,school_bus,> 10,68,81,88,********
724,male,********,high school,standard,completed,married,never,no,1.0,school_bus,5 - 10,60,52,55,********
725,male,********,some high school,standard,,single,never,yes,4.0,school_bus,5 - 10,70,64,55,********
726,male,********,associate's degree,standard,none,single,regularly,yes,,school_bus,5 - 10,71,65,58,********
727,female,********,some college,standard,completed,divorced,regularly,yes,0.0,private,5 - 10,56,58,65,********
728,male,********,some high school,standard,none,single,sometimes,yes,4.0,school_bus,< 5,66,58,57,********
729,male,********,bachelor's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,< 5,77,75,75,********
731,female,********,high school,standard,completed,divorced,sometimes,yes,3.0,private,5 - 10,47,52,52,********
732,male,********,bachelor's degree,standard,completed,single,regularly,,4.0,private,5 - 10,85,85,84,********
733,male,********,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,81,68,63,********
734,male,********,high school,free/reduced,none,married,never,yes,0.0,private,> 10,53,53,49,********
735,female,********,some high school,free/reduced,,married,sometimes,yes,0.0,private,> 10,59,89,87,********
736,male,********,some college,standard,none,single,sometimes,no,1.0,private,,72,68,65,********
737,female,********,associate's degree,standard,none,,sometimes,yes,4.0,private,,56,64,62,********
738,female,********,associate's degree,standard,none,divorced,sometimes,yes,1.0,private,< 5,54,70,67,********
739,female,********,bachelor's degree,free/reduced,none,single,regularly,yes,2.0,school_bus,> 10,54,58,57,********
740,male,********,some high school,free/reduced,none,married,sometimes,yes,3.0,,5 - 10,35,39,35,********
741,male,********,,free/reduced,none,single,regularly,yes,0.0,private,5 - 10,40,26,22,********
742,male,********,some college,standard,none,divorced,sometimes,yes,3.0,school_bus,5 - 10,80,75,72,********
743,male,********,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,58,56,54,********
744,male,********,some college,standard,none,married,regularly,no,2.0,school_bus,5 - 10,73,57,55,********
745,male,********,high school,standard,,single,never,yes,1.0,,< 5,69,52,53,********
746,female,********,bachelor's degree,free/reduced,none,divorced,never,yes,1.0,private,< 5,55,70,77,********
747,female,********,associate's degree,standard,none,single,sometimes,yes,0.0,school_bus,5 - 10,62,66,68,********
749,female,********,,standard,none,married,regularly,no,1.0,school_bus,5 - 10,81,100,98,********
750,female,********,,standard,none,single,regularly,yes,1.0,school_bus,5 - 10,89,100,97,********
751,male,********,associate's degree,standard,none,married,regularly,no,1.0,private,< 5,72,68,64,********
752,female,********,associate's degree,free/reduced,none,single,sometimes,yes,,school_bus,> 10,57,79,67,********
753,male,********,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,100,86,88,********
754,male,********,some high school,standard,completed,divorced,sometimes,yes,4.0,school_bus,< 5,66,56,52,********
755,female,********,some college,free/reduced,none,single,sometimes,no,4.0,school_bus,< 5,69,64,66,********
756,female,********,some high school,standard,completed,,sometimes,yes,0.0,school_bus,5 - 10,59,71,71,********
757,female,********,associate's degree,free/reduced,none,married,regularly,yes,1.0,,5 - 10,37,53,50,********
758,female,********,associate's degree,standard,,single,sometimes,yes,1.0,private,< 5,62,71,76,********
759,male,********,associate's degree,free/reduced,none,married,never,no,3.0,school_bus,< 5,26,36,39,********
761,male,********,associate's degree,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,66,57,59,********
762,female,********,bachelor's degree,free/reduced,none,married,sometimes,no,3.0,school_bus,5 - 10,68,73,74,********
763,male,********,high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,75,64,********
764,female,********,some high school,free/reduced,completed,divorced,regularly,yes,3.0,,< 5,56,65,67,********
765,female,********,bachelor's degree,free/reduced,none,divorced,never,yes,0.0,school_bus,5 - 10,56,59,60,********
766,male,********,some college,standard,none,married,regularly,no,2.0,,< 5,64,57,53,********
767,female,********,associate's degree,standard,none,married,never,no,1.0,private,5 - 10,58,70,64,********
768,female,********,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,73,74,82,********
769,male,********,associate's degree,standard,completed,married,sometimes,yes,5.0,,5 - 10,79,79,79,********
770,female,********,some college,free/reduced,none,single,regularly,yes,1.0,,5 - 10,61,74,69,********
771,male,********,high school,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,5 - 10,61,60,46,********
772,female,********,,standard,completed,,sometimes,yes,5.0,private,5 - 10,82,95,97,********
773,female,********,some college,free/reduced,none,divorced,regularly,no,3.0,school_bus,> 10,63,58,60,********
774,male,********,some high school,free/reduced,completed,married,sometimes,no,1.0,private,,56,52,45,********
775,female,********,some college,standard,completed,married,regularly,yes,7.0,private,5 - 10,83,90,94,********
776,male,********,some college,standard,none,divorced,regularly,,0.0,private,> 10,48,39,43,********
777,female,********,associate's degree,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,74,85,79,********
778,female,********,master's degree,standard,none,married,sometimes,no,1.0,school_bus,< 5,78,91,93,********
779,male,********,high school,standard,none,married,regularly,yes,2.0,private,5 - 10,75,74,67,********
780,female,********,master's degree,standard,none,married,,yes,0.0,school_bus,> 10,62,57,57,********
781,male,********,,standard,none,divorced,never,yes,1.0,private,< 5,73,73,72,********
782,female,********,some high school,free/reduced,completed,divorced,sometimes,yes,1.0,,5 - 10,62,74,66,********
784,male,********,some high school,standard,none,married,regularly,no,1.0,school_bus,5 - 10,63,55,54,********
785,female,********,some high school,standard,none,single,sometimes,yes,1.0,private,> 10,72,73,76,********
786,female,********,some college,free/reduced,completed,divorced,never,yes,1.0,school_bus,> 10,67,74,78,********
787,female,********,high school,free/reduced,completed,,never,yes,,school_bus,5 - 10,55,64,66,********
788,male,********,associate's degree,standard,none,divorced,sometimes,yes,5.0,school_bus,< 5,90,70,74,********
789,male,********,some high school,standard,,married,regularly,no,3.0,,> 10,85,73,74,********
790,female,********,associate's degree,standard,none,single,sometimes,yes,3.0,private,5 - 10,52,59,61,********
791,female,********,some college,standard,none,single,sometimes,yes,2.0,school_bus,< 5,77,85,72,********
792,female,********,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,50,59,59,********
793,female,********,some high school,standard,none,single,sometimes,yes,1.0,school_bus,> 10,62,55,62,********
794,female,********,some college,standard,none,,sometimes,yes,2.0,school_bus,5 - 10,55,61,57,********
795,female,********,some college,standard,none,single,regularly,,1.0,private,< 5,43,50,51,********
796,male,********,some high school,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,73,70,72,********
797,female,********,some high school,standard,none,married,regularly,yes,3.0,school_bus,,51,69,64,********
798,female,********,bachelor's degree,free/reduced,none,married,sometimes,yes,0.0,school_bus,> 10,81,83,87,********
799,female,********,associate's degree,standard,none,single,regularly,yes,1.0,school_bus,5 - 10,41,55,55,********
800,male,********,master's degree,standard,completed,married,regularly,yes,0.0,school_bus,5 - 10,70,71,78,********
801,female,********,associate's degree,standard,completed,married,never,yes,3.0,private,5 - 10,65,77,77,********
802,male,********,,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,80,82,75,********
803,male,********,high school,free/reduced,completed,single,never,yes,1.0,private,< 5,54,58,58,********
804,female,********,some high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,76,75,77,********
805,female,********,associate's degree,free/reduced,completed,married,sometimes,no,2.0,private,5 - 10,56,72,74,********
807,male,********,some college,free/reduced,,married,sometimes,yes,2.0,school_bus,< 5,82,80,83,********
808,male,********,some high school,free/reduced,none,single,never,no,,private,> 10,52,52,47,********
809,female,********,some college,standard,completed,married,sometimes,yes,1.0,school_bus,< 5,50,62,65,********
810,female,********,associate's degree,standard,,married,never,no,5.0,private,5 - 10,81,85,81,********
811,male,********,,free/reduced,completed,divorced,regularly,yes,4.0,private,< 5,64,60,61,********
812,female,********,high school,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,58,74,73,********
813,female,********,,free/reduced,none,married,regularly,yes,1.0,school_bus,< 5,20,38,37,********
814,female,********,some high school,standard,completed,single,regularly,,0.0,school_bus,5 - 10,63,66,71,********
815,male,********,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,68,73,61,********
816,female,********,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,< 5,78,89,81,********
817,female,********,associate's degree,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,46,61,68,********
818,female,********,some high school,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,48,66,67,********
819,female,********,high school,standard,completed,single,never,yes,1.0,school_bus,5 - 10,68,76,74,********
820,male,********,some college,free/reduced,,single,,no,4.0,school_bus,> 10,65,62,62,********
821,male,********,some high school,standard,completed,married,sometimes,no,2.0,school_bus,> 10,64,58,57,********
822,female,********,bachelor's degree,free/reduced,completed,married,sometimes,no,3.0,private,5 - 10,69,91,92,********
823,female,********,high school,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,53,70,64,********
824,female,********,,free/reduced,none,divorced,sometimes,no,2.0,school_bus,5 - 10,24,38,33,********
825,female,********,some college,standard,,married,sometimes,yes,3.0,private,5 - 10,59,64,64,********
826,female,********,associate's degree,standard,completed,divorced,regularly,no,1.0,private,,60,71,74,********
827,male,********,associate's degree,free/reduced,none,single,sometimes,yes,1.0,school_bus,5 - 10,28,35,32,********
828,female,********,,standard,none,divorced,never,yes,3.0,private,< 5,56,64,63,********
829,male,********,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,75,78,75,********
830,female,********,associate's degree,free/reduced,none,married,regularly,yes,0.0,school_bus,> 10,56,73,74,********
831,male,********,some college,standard,none,widowed,regularly,no,1.0,school_bus,< 5,71,65,57,********
832,male,********,high school,standard,,single,regularly,no,5.0,school_bus,> 10,82,69,72,********
833,male,********,bachelor's degree,standard,none,married,regularly,yes,3.0,private,< 5,51,57,50,********
834,male,********,associate's degree,standard,none,married,sometimes,no,1.0,school_bus,< 5,62,61,52,********
835,female,********,some college,standard,completed,married,sometimes,yes,0.0,private,< 5,40,51,52,********
836,female,********,some college,free/reduced,none,single,sometimes,yes,3.0,school_bus,5 - 10,56,75,74,********
837,female,********,some college,standard,none,married,regularly,no,4.0,private,5 - 10,89,98,92,********
838,male,********,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,90,90,91,********
839,male,********,associate's degree,free/reduced,completed,divorced,regularly,no,2.0,school_bus,< 5,71,72,80,********
840,male,********,some college,standard,none,married,sometimes,yes,1.0,school_bus,< 5,64,61,54,********
841,male,********,associate's degree,standard,,married,regularly,yes,3.0,private,< 5,69,70,68,********
842,female,********,some college,standard,completed,divorced,never,no,3.0,school_bus,< 5,72,66,75,********
843,male,********,associate's degree,standard,none,widowed,never,no,4.0,school_bus,5 - 10,61,60,50,********
844,male,********,some college,standard,none,married,sometimes,yes,3.0,private,5 - 10,50,58,53,********
845,male,********,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,86,80,73,********
846,male,********,some college,standard,none,married,sometimes,yes,2.0,,5 - 10,75,64,70,********
847,male,********,,standard,none,single,regularly,no,2.0,school_bus,5 - 10,65,64,68,********
848,female,********,high school,standard,none,married,regularly,yes,5.0,school_bus,5 - 10,67,73,76,********
849,male,********,some high school,free/reduced,none,married,regularly,yes,2.0,school_bus,< 5,45,40,41,********
850,female,********,high school,standard,completed,married,never,no,,private,5 - 10,80,81,85,********
851,male,********,high school,standard,none,married,sometimes,yes,2.0,private,> 10,64,58,54,********
852,female,********,bachelor's degree,free/reduced,none,single,never,yes,3.0,private,< 5,63,81,81,********
853,female,********,high school,standard,none,married,never,no,1.0,school_bus,5 - 10,52,65,52,********
854,female,********,some high school,standard,,single,regularly,yes,0.0,private,5 - 10,80,86,88,********
855,male,********,associate's degree,standard,none,married,regularly,no,2.0,school_bus,< 5,92,84,85,********
856,female,********,some high school,free/reduced,none,married,regularly,yes,1.0,school_bus,< 5,63,69,64,********
857,male,********,some high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,61,61,54,********
858,female,********,high school,free/reduced,none,married,sometimes,yes,0.0,private,5 - 10,60,69,65,********
859,male,********,bachelor's degree,free/reduced,none,divorced,regularly,yes,3.0,private,,50,50,49,********
860,female,********,,standard,none,married,never,yes,2.0,school_bus,< 5,63,69,71,********
861,male,********,some college,standard,none,married,regularly,yes,2.0,private,5 - 10,69,60,64,********
862,male,********,some high school,standard,none,married,sometimes,yes,2.0,school_bus,> 10,76,63,59,********
863,male,********,high school,free/reduced,completed,married,sometimes,yes,1.0,school_bus,< 5,66,67,75,********
864,male,********,high school,standard,none,married,regularly,yes,5.0,private,5 - 10,89,81,82,********
865,male,********,associate's degree,free/reduced,none,married,regularly,no,5.0,school_bus,,77,70,70,********
866,male,********,some high school,standard,none,married,regularly,no,2.0,private,< 5,70,71,67,********
867,female,********,some high school,standard,none,single,regularly,yes,7.0,private,< 5,71,77,79,********
868,male,********,some high school,standard,none,married,sometimes,yes,2.0,private,5 - 10,84,68,67,********
869,male,********,associate's degree,free/reduced,none,single,sometimes,yes,0.0,school_bus,5 - 10,74,69,64,********
870,female,********,master's degree,standard,none,married,sometimes,yes,1.0,,5 - 10,64,75,86,********
871,female,********,some high school,free/reduced,none,married,sometimes,,2.0,school_bus,< 5,38,68,64,********
872,female,********,some college,free/reduced,none,single,sometimes,yes,3.0,private,> 10,70,81,78,********
874,female,********,associate's degree,standard,completed,married,sometimes,no,1.0,private,< 5,71,83,92,********
